,Years up,Div yield,avg daily vol,Total Revenue Incr,Gross Margin,Gross Profit Incr,Trading years,Market cap,EPS,P/E,Mean change,Score,Sector
ALNY,0.0,,0.3694386199747551,75.53499027026479,65.0580353337637,75.22923927077566,32.25806451612903,49.86944895685838,-0.0130546229564433,-0.45018809694893036,87.17318392755755,63.786239689306825,Healthcare
ALPN,53.124999999999986,,0.03942333581587082,88.04381148435661,,,14.516129032258066,2.3137329475281874,-0.004097436402387313,-0.14374180996960975,96.0895988806853,53.12079419259359,Healthcare
ALSN,70.83333333333334,31.621327489817542,0.12470541830071116,33.979728593420134,42.23704929590312,30.83723704066784,19.35483870967742,11.238320577500284,0.6222379353013965,0.06408139705985398,54.554589008480406,44.700494327811604,Consumer Cyclical
ALT,0.0,,0.2979835846618917,-39.0168932630577,,,11.29032258064516,1.0779377105453072,-0.004891513224555396,-0.060657671887191,97.43859739940054,18.65070158728542,Healthcare
ALTM,0.0,,0.5420490813895904,84.1795895447849,23.801578793339427,95.91580935569448,9.67741935483871,12.565302332606946,,,80.3738797121181,67.21801489395209,Basic Materials
ALTO,0.0,,0.006644491386205793,49.13794474467523,2.32723593289114,-36.30033003210899,30.64516129032258,0.3120472019255896,-0.0019375474460901249,-0.031282278616460706,98.03050947684983,22.397955536180007,Basic Materials
ALTR,53.124999999999986,,0.14574478639377936,22.234293677577295,61.46164839007362,29.761097438452115,11.29032258064516,14.997402401609575,-0.0006670245306211904,-4.071913832803669,91.09862003751876,47.91214373732949,Technology
ALV,0.0,57.507696484069804,0.17443274804709075,18.8955768264003,13.911772424815114,13.830198764168708,43.548387096774185,18.05199866976269,0.42690471981615696,0.1624526326103393,71.29434042645181,33.39392393087555,Consumer Cyclical
ALVR,0.0,,0.007131309648210276,,,,6.451612903225806,0.16400552659195713,-0.005304433172082801,-0.004008833272578329,-46.35397311138634,-11.494696815171611,Healthcare
AM,0.0,83.6123729150197,0.1140089128693606,1.819265548536335,54.335422064770576,-2.539782815436213,11.29032258064516,12.496093120350633,0.06452183135937775,0.12818049164715098,34.11969907729867,24.999171527415765,Energy
AMAM,21.249999999999996,,0.3619448134706172,-24.999650933630136,,,1.6129032258064515,3.7489707555663285,0.037122149549231036,0.5074251066235034,,2.133574689794786,Healthcare
AMAT,53.124999999999986,12.501060725124017,3.8048128710822033,36.00246385623383,41.238432224301505,40.64999157792096,70.96774193548387,100.0,0.7176948912851333,0.16529838760506987,93.92777455498836,70.51065393360412,Technology
AMBA,0.0,,0.11257566102123996,35.49611836276975,52.44130864975091,41.38055870279368,19.35483870967742,4.920870350879262,-0.009592448011790454,-0.18849956376256333,90.58958114509933,40.57834131113383,Technology
AMBP,0.0,88.84725600718866,0.012498180245058369,36.74861941302303,11.342183878131621,-1.9243820205760505,4.838709677419355,4.731632916954347,,,-42.54583169792291,10.963353342124746,Consumer Cyclical
AMC,0.0,,0.2560255575415652,86.26403708280142,57.12599547258981,86.6381154661587,17.741935483870968,2.1973475834034404,-0.009528921866017006,-0.013753829758891703,98.65515848996242,57.84767383373075,Communication Services
AMCR,0.0,77.32748030360086,0.2662306137603862,11.545130555258137,16.5919580348857,4.771261717654017,19.35483870967742,28.873127122109832,0.05833480643450591,0.10872560972761372,9.820156047187254,21.50287366373904,Consumer Cyclical
AMD,53.124999999999986,,49.86107460441106,79.80868799577027,40.88382899513413,80.62460822361537,70.96774193548387,100.0,0.00972246773908432,12.492817803439046,96.35482042728027,95.0690308725558,Technology
AME,53.124999999999986,10.590130412171169,0.5182055464771969,36.66093209432501,30.46718990483095,39.99164773895324,64.51612903225806,80.59392717592227,0.4878911083613221,0.22723819992269942,84.51107577882765,62.65233058298991,Industrials
AMGN,70.83333333333334,59.883931858412694,2.704975673831416,3.258866248132111,61.164208488190255,3.115014736606507,66.12903225806451,100.0,1.2418242884921336,0.16759497642972776,60.14936516731104,63.349426390323316,Healthcare
AMH,0.0,55.05989148422624,0.3315547217261586,27.893616866787053,48.06554153023795,31.480942672029922,17.741935483870968,31.08446016391882,0.09192151316952447,0.2596909795923207,79.42995211821514,43.00837953790552,Real Estate
AMJ,79.68749999999999,,0.03892487588025291,,,,24.193548387096776,100.0,,,42.707223267269676,90.8867315398996,
AMKR,53.124999999999986,16.58194057706715,0.09975107849743113,41.04936846082685,15.640338260926784,48.53462704137826,41.93548387096774,17.52913332670218,0.14495315538271164,0.15622238849180536,93.15480180699961,51.1866017741452,Technology
